Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRatio,IncomeVsLevelMedian,PromotionStagnation,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
33,0,1141,1,3,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0.5,1.006741573033708,0.2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,0,464,4,2,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,1.0,0.7307116104868914,0.0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
27,0,1240,2,4,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,1.0,0.8767790262172285,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,1,1357,25,3,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1.0,0.8588014981273409,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
27,0,994,8,3,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,1.0,0.8743486973947896,0.1111111111111111,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30,0,721,1,2,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,1.0,0.751123595505618,0.25,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
41,1,1360,12,3,2,0,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,0.9565217391304348,1.0162749584026622,0.6818181818181818,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
34,0,1065,23,4,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0.9,0.8554307116104869,0.8888888888888888,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
37,0,408,19,2,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0.125,1.1318352059925094,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
46,0,1211,5,4,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0.6428571428571429,1.0808988764044944,0.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
35,0,1229,8,1,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,1.0,0.849812734082397,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
48,1,626,1,2,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,0.043478260869565216,0.5391783567134268,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
28,1,1434,5,4,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1.0,1.2887640449438202,1.0,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
44,0,1488,1,5,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0.4444444444444444,1.0213483146067415,0.25,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
35,0,1097,11,2,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0.4,0.9903807615230461,0.5,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
26,0,1443,23,3,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0.4,0.7784644194756555,0.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
33,0,515,1,2,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,1.0,1.3484969939879758,0.5333333333333333,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,0,853,18,5,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,1.0,0.9087174348697394,0.1111111111111111,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,0,1142,23,4,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0.5,1.503370786516854,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
31,0,655,7,4,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0.7,1.107677902621723,0.14285714285714285,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,0,1115,1,4,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,1.0,1.1222846441947565,0.0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,0,427,1,3,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,1.0,1.1539325842696628,0.7777777777777778,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
38,0,653,29,5,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,1.0,0.45056179775280897,0.9,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
50,0,989,7,2,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0.9310344827586207,0.9744176372712147,0.48148148148148145,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
59,0,1435,25,3,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0.75,0.7652304609218437,0.3333333333333333,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
36,0,1223,8,3,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,1.0,1.011623246492986,0.7058823529411765,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,0,836,8,3,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0.23809523809523808,0.9134579670669803,0.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
36,0,1195,11,3,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,1.0,1.2170411985018728,0.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
45,0,1339,7,3,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0.04,0.9743486973947896,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35,0,664,1,3,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0.6,0.8217228464419476,0.3333333333333333,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
36,1,318,9,3,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,0.5,1.2689138576779027,0.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
59,0,1225,1,1,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0.2,1.0249063670411984,0.25,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29,0,1328,2,3,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0.8333333333333334,1.0123595505617977,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
31,0,1082,1,4,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,1.0,0.9367041198501873,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
32,0,548,1,3,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,1.0,1.1647940074906367,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,0,132,6,3,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0.2,1.1378277153558052,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,0,746,8,4,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,1.0,0.8284644194756554,0.09090909090909091,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,0,776,1,4,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0.9375,0.8074906367041198,0.13333333333333333,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
45,0,193,6,4,4,1,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0.0,1.3271543086172344,0.0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
37,0,397,7,4,1,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0.3125,1.3691382765531062,0.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
46,0,945,5,2,2,1,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0.25,0.9402621722846441,0.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
30,0,852,1,1,4,1,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,1.0,0.9599250936329587,0.3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
35,0,1214,1,3,2,1,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,1.0,1.0707865168539326,0.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
55,0,111,1,2,1,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0.041666666666666664,1.0259519038076153,1.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
38,0,573,6,3,2,0,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0.7647058823529411,0.997940074906367,0.07692307692307693,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
34,0,1153,1,2,1,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,1.0,0.8099250936329588,0.2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
56,0,1400,7,3,4,1,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0.16216216216216217,0.7274549098196392,0.0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
23,0,541,2,1,3,1,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0.0,0.8696629213483146,0.0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51,0,432,9,4,4,1,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0.4,0.7771535580524345,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
30,0,288,2,3,3,1,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,1.0,0.7775280898876404,0.9090909090909091,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
46,1,669,9,2,3,1,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1.0,0.9638276553106212,0.4444444444444444,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
40,0,530,1,4,3,1,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,1.0,0.8358920391234369,0.5,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
51,0,632,21,4,3,1,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0.9090909090909091,1.0189138576779027,0.1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
30,0,1334,4,2,3,0,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,1.0,0.9754681647940074,0.18181818181818182,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
46,0,638,1,3,3,1,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0.47619047619047616,1.069438877755511,0.9,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
32,0,1093,6,4,2,1,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0.9166666666666666,0.9382022471910112,0.45454545454545453,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
54,0,1217,2,4,1,0,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0.25,1.357615230460922,0.0,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
24,0,1353,3,2,1,0,33,3,2,3,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0.75,0.9361423220973782,0.0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
28,0,120,4,3,2,1,43,3,2,3,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,1.0,0.7904494382022472,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
58,0,682,10,4,4,1,37,3,4,3,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0.9736842105263158,0.8587346787173455,0.02702702702702703,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
44,0,489,23,3,2,1,67,3,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,0.17647058823529413,0.3823970037453184,0.3333333333333333,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
37,1,807,6,4,3,1,63,3,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,0.42857142857142855,0.7764044943820225,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
32,0,827,1,1,4,1,71,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,1.0,1.1071161048689138,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
20,1,871,6,3,4,0,66,2,1,4,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1.0,1.0958801498127342,1.0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
34,0,665,6,4,1,0,41,3,2,3,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,1.0,0.900561797752809,0.125,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
37,0,1040,2,2,3,1,100,2,2,4,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0.058823529411764705,0.9668539325842697,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,0,1420,2,4,3,0,32,2,5,4,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,0.1,0.9798252911813644,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
50,0,1115,1,3,1,0,73,3,5,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0.2857142857142857,0.944883527454243,0.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
25,1,240,5,3,3,1,46,2,2,3,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,1.0,1.0756554307116104,0.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
25,0,1280,7,1,4,1,64,2,1,4,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,1.0,1.0820224719101124,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
22,0,534,15,3,2,0,59,3,1,4,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0.0,1.0752808988764044,0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
51,0,1456,1,4,1,0,30,2,3,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0.5652173913043478,0.7498997995991984,0.9230769230769231,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
34,1,658,7,3,1,1,66,1,2,3,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1.0,1.1374531835205992,0.0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
54,0,142,26,3,4,0,30,4,4,4,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0.21739130434782608,1.0726754983285873,0.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
24,0,1127,18,1,2,1,52,3,1,3,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0.8333333333333334,1.0389513108614232,0.2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
34,0,1031,6,4,3,0,45,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0.08333333333333333,0.8436329588014981,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,0,1189,3,3,3,1,87,3,3,4,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0.4166666666666667,0.7442885771543086,0.2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
